OBJECTID,code,FREQUENCY,SUM_acres
-1,a1,2987,9450.953993689268827
-1,a2,2988,4862.445028860121965
-1,a3,2992,2908.125415507704020
-1,a4,2981,2565.312317010015249
-1,a5,2990,3147.782659620046616
-1,b1,7882,8697.494396485388279
-1,b2,7876,4721.164356563240290
-1,b3,7879,4436.147188786417246
-1,b4,7883,4311.874670475721359
-1,b5,7884,4196.049772150814533
-1,c1,28240,15341.044385563582182
-1,c2,28241,9425.267401702702045
-1,c3,28224,8840.209520339965820
-1,c4,28265,7967.118690274655819
-1,c5,28241,7681.117201045155525
-1,d1,33871,11248.986508842557669
-1,d2,33888,8820.823020983487368
-1,d3,33874,7653.343889225274324
-1,d4,33860,7444.489076826721430
-1,d5,33860,8190.490068498998880
-1,e1,8735,1995.184454932808876
-1,e2,8694,1904.003318339586258
-1,e3,8702,1532.599777851253748
-1,e4,8724,1820.800066769123077
-1,e5,8714,1389.092084277421236
